,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
5462,Opel,Astra,Sedan,Automatic,2016,Gas,1600,110000,Silver,Maadi,375000
5463,Speranza,A516,Sedan,Manual,2008,Gas,1600,200000,Silver,Agamy,110000
5464,MG,ZS,Sedan,Automatic,2019,Gas,1500,100000,Silver,6 October,490000
5465,Mitsubishi,Lancer Crystala,Sedan,Manual,1992,Gas,1600,200000,Silver,Helwan,60000
5466,Kia,Rio,Sedan,Automatic,2015,Gas,1400,190000,Silver,Gharbia,300000
5467,Nissan,Sunny,Sedan,Automatic,2022,Gas,1500,26000,Silver,6 October,330000
5468,Chevrolet,Aveo,Sedan,Automatic,2020,Gas,1500,120000,Silver,Obour City,280000
5469,Toyota,Yaris,Sedan,Manual,2006,Gas,1300,200000,Silver,Helwan,180000
5470,Volkswagen,Passat,Sedan,Automatic,2021,Gas,1400,15000,Silver,Maadi,1200000
5471,MG,6,Sedan,Automatic,2022,Gas,1500,37000,Silver,Cairo,650000
5472,Mercedes,C 200,Sedan,Automatic,2019,Gas,1500,30000,Silver,Cairo,1580000
5473,Volkswagen,Passat,Sedan,Automatic,2022,Gas,1400,9000,Silver,Heliopolis,1320000
5474,Mercedes,S 500,Sedan,Automatic,1996,Gas,5000,280000,Silver,Cairo,500000
5475,Mitsubishi,Lancer Puma,Sedan,Automatic,2011,Gas,1600,197000,Silver,Giza,275000
5476,Hyundai,Verna,Sedan,Manual,2018,Natural Gas,1600,200000,Silver,10th of Ramadan,200000
5477,Chevrolet,Aveo,Sedan,Automatic,2014,Gas,1600,130000,Silver,Zagazig,225000
5478,Skoda,Octavia A4,Sedan,Manual,2000,Gas,1600,304000,Silver,Agamy,155000
5479,Chevrolet,Optra,Sedan,Automatic,2018,Gas,1500,64000,Silver,Beheira,270000
5480,Toyota,Corolla,Sedan,Manual,2000,Gas,1300,275000,Silver,Damanhur,125000
5481,Hyundai,Excel,Sedan,Manual,1997,Gas,1500,200000,Silver,Kafr el-Sheikh,75000
5482,Hyundai,Verna,Sedan,Manual,2016,Gas,1600,201000,Silver,Helwan,175000
5483,Toyota,Tercel,Sedan,Manual,1997,Gas,1300,200000,Silver,Warraq,70000
5484,Chevrolet,Aveo,Sedan,Automatic,2015,Gas,1600,133000,Silver,El Mahalla,250000
5485,Opel,Astra,Sedan,Manual,2000,Gas,1600,260000,Silver,Alexandria,120000
5486,Fiat,Tipo,Sedan,Automatic,2021,Gas,1600,28590,Silver,Obour City,520000
5487,Nissan,Sentra,Sedan,Automatic,2017,Gas,1600,179000,Silver,Nasr city,290000
5488,Suzuki,Ciaz,Sedan,Automatic,2021,Gas,1500,80000,Silver,Cairo,380000
5489,Chevrolet,Aveo,Sedan,Manual,2007,Gas,1500,108000,Silver,Giza,140000
5490,Suzuki,Ciaz,Sedan,Automatic,2016,Gas,1400,100000,Silver,Alexandria,360000
5491,Chevrolet,Aveo,Sedan,Automatic,2011,Gas,1500,168000,Silver,Sohag,200000
5492,Fiat,Tipo,Sedan,Manual,2021,Gas,1400,40000,Silver,Damietta,370000
5493,Nissan,Sunny,Sedan,Automatic,2023,Gas,1500,20800,Silver,Shobra,425000
5494,Nissan,Sunny,Sedan,Automatic,2022,Gas,1500,13500,Silver,Obour City,340000
5495,Byd,F3,Sedan,Automatic,2014,Gas,1600,180000,Silver,Giza,180000
5496,Hyundai,Verna,Sedan,Manual,2016,Gas,1600,300000,Silver,Cairo,160000
5497,Peugeot,406,Sedan,Automatic,2003,Gas,2000,190000,Silver,Zagazig,155000
5498,Skoda,Octavia A4,Sedan,Manual,2002,Gas,2000,95000,Silver,Beheira,217000
5499,Nissan,Sentra,Sedan,Automatic,2018,Gas,1600,95000,Silver,Amreya,370000
5500,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,1400,49500,Silver,Tagamo3 - New Cairo,885000
5501,Mercedes,C 280,Sedan,Automatic,2009,Gas,3000,140000,Silver,Giza,600000
5502,Toyota,Corolla,Sedan,Manual,1984,Gas,1300,300000,Silver,Giza,46000
5503,Lada,2110,Sedan,Manual,2005,Gas,1600,159000,Silver,Imbaba,50000
5504,Daewoo,Nubira 2,Sedan,Automatic,2004,Gas,1600,218000,Silver,El Minya,145000
5505,Toyota,Yaris,Sedan,Manual,2008,Gas,1300,87000,Silver,Aswan,190000
5506,Nissan,Sunny,Sedan,Automatic,2023,Gas,1500,18000,Silver,Heliopolis,350000
5507,Renault,Logan,Sedan,Manual,2020,Gas,1600,82000,Silver,Helwan,240000
5508,Chevrolet,Lanos,Sedan,Manual,2011,Gas,1500,200000,Silver,El Haram,105000
5509,Renault,Logan,Sedan,Automatic,2018,Gas,1600,120000,Silver,El Haram,280000
5510,Nissan,Sunny,Sedan,Automatic,2014,Gas,1500,71300,Silver,Alexandria,295000
5511,Fiat,128,Sedan,Manual,1975,Gas,1100,200000,Silver,Ain Shams,15000
5512,Seat,Ibiza,Sedan,Manual,1993,Gas,1300,150000,Silver,Giza,50000
5513,Brilliance,FSV,Sedan,Manual,2010,Gas,1500,38000,Silver,Giza,180000
5514,Lada,Granta,Sedan,Manual,2020,Gas,1600,75000,Silver,El Manial,220000
5515,Skoda,Octavia A7,Sedan,Automatic,2015,Gas,1600,170000,Silver,Alexandria,465000
5516,Byd,L3,Sedan,Manual,2016,Gas,1500,150000,Silver,Helwan,185000
5517,Honda,Accord,Sedan,Automatic,2020,Gas,1500,32000,Silver,Maadi,1050000
5518,Fiat,128,Sedan,Manual,1989,Gas,1600,110000,Silver,Mansoura,34000
5519,Skoda,Fantasia,Sedan,Automatic,2013,Gas,1600,210000,Silver,Sharm el-Sheikh,390000
5520,MG,6,Sedan,Automatic,2020,Gas,1500,69000,Silver,Alexandria,485000
5521,Mazda,3,Sedan,Automatic,2008,Gas,1600,160000,Silver,Mansoura,270000
5522,Geely,Emgrand 7,Sedan,Manual,2014,Gas,1500,128000,Silver,Alexandria,145000
5523,Kia,Grand Cerato,Sedan,Automatic,2015,Gas,1600,144000,Silver,Helwan,400000
5524,Mercedes,C 200,Sedan,Automatic,2006,Gas,1800,210000,Silver,Heliopolis,475000
5525,Nissan,Sentra,Sedan,Automatic,2017,Gas,1600,42000,Silver,Giza,400000
5526,BMW,318,Sedan,Automatic,2001,Gas,1900,100000,Silver,Port Said,210000
5527,Hyundai,Elantra AD,Sedan,Automatic,2019,Gas,1600,38000,Silver,Alexandria,580000
5528,Toyota,Corona,Sedan,Manual,1996,Gas,1600,400000,Silver,Cairo,83000
5529,Jaguar,S-Type,Sedan,Automatic,2004,Gas,2500,119000,Silver,6 October,360000
5530,MG,ZS,Sedan,Automatic,2022,Gas,1500,12000,Silver,Cairo,650000
5531,Peugeot,508,Sedan,Automatic,2020,Gas,1600,50000,Silver,Damietta,930000
5532,Mazda,3,Sedan,Automatic,2015,Gas,1600,86000,Silver,Alexandria,375000
5533,Jaguar,S-Type,Sedan,Automatic,2004,Gas,2500,119000,Silver,6 October,390000
5534,BMW,320,Sedan,Automatic,2020,Gas,2000,46000,Silver,Zamalek,1690000
5535,Renault,Fluence,Sedan,Automatic,2011,Gas,1600,100000,Silver,Nasr city,250000
5536,Skoda,Octavia A7,Sedan,Automatic,2014,Gas,1400,125000,Silver,Sohag,450000
5537,Hyundai,Accent,Sedan,Manual,2000,Gas,1300,30000,Silver,Giza,85000
5538,Fiat,Siena,Sedan,Manual,2001,Gas,1400,189772,Silver,Faiyum,55000
5539,Daewoo,Nubira 2,Sedan,Manual,2006,Gas,1599,160000,Silver,Alexandria,92000
5540,Renault,Megane,Sedan,Automatic,2020,Gas,1600,45000,Silver,Tagamo3 - New Cairo,490000
5541,BMW,318,Sedan,Automatic,2017,Gas,1500,55000,Silver,Alexandria,830000
5542,Nissan,Sunny,Sedan,Automatic,2019,Gas,1600,40000,Silver,Shobra,340000
5543,Kia,Rio,Sedan,Automatic,2014,Gas,1400,190000,Silver,6 October,315000
5544,Hyundai,Accent,Sedan,Manual,1999,Gas,1400,300000,Silver,Hurghada,80000
5545,Fiat,131,Sedan,Manual,1970,Gas,1600,190000,Silver,Helwan,25000
5546,Honda,Civic,Sedan,Automatic,2007,Gas,1800,190000,Silver,Nasr city,480000
5547,Seat,Ibiza,Sedan,Manual,1990,Gas,1300,100000,Silver,Nasr city,37000
5548,Fiat,128,Sedan,Manual,1986,Gas,1100,109859,Silver,Mansoura,30000
5549,Opel,Astra,Sedan,Automatic,2014,Gas,1600,150000,Silver,Nasr city,280000
5550,Ford,Focus,Sedan,Automatic,2017,Gas,1000,65000,Silver,Tagamo3 - New Cairo,400000
5551,Hyundai,Elantra AD,Sedan,Automatic,2019,Gas,1600,96000,Silver,Giza,470000
5552,Chery,Envy,Sedan,Manual,2017,Gas,1600,424000,Silver,Alexandria,150000
5553,Kia,Cerato,Sedan,Automatic,2017,Gas,1600,137000,Silver,Helwan,412000
5554,Hyundai,Elantra CN7,Sedan,Automatic,2021,Gas,1600,13000,Silver,Zagazig,575000
5555,Mitsubishi,Lancer Puma,Sedan,Automatic,2013,Gas,1600,135000,Silver,Nasr city,380000
5556,Chevrolet,Cruze,Sedan,Automatic,2016,Gas,1600,77000,Silver,Madinaty,350000
5557,Opel,Astra,Sedan,Automatic,2013,Gas,1600,165000,Silver,Nasr city,310000
5558,Daewoo,Nubira 1,Sedan,Manual,1997,Gas,1500,200000,Silver,Suez,125000
5559,Opel,Insignia,Sedan,Automatic,2015,Gas,1600,100000,Silver,Heliopolis,520000
5560,Kia,Cerato,Sedan,Automatic,2022,Gas,1600,40000,Silver,Shobra,570000
5561,Opel,Vectra,Sedan,Manual,1999,Gas,2000,300000,Silver,Giza,118000
5562,Mercedes,E 240,Sedan,Automatic,1999,Gas,2400,310000,Silver,Mit Ghamr,300000
5563,Volkswagen,Passat,Sedan,Automatic,2016,Gas,1400,220000,Silver,Hurghada,580000
5564,Fiat,Tipo,Sedan,Manual,2020,Gas,1400,83000,Silver,Heliopolis,360000
5565,Nissan,Sunny,Sedan,Automatic,2016,Gas,1500,110000,Silver,Abu Qir,275000
5566,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,1400,10000,Silver,Cairo,1200000
5567,Toyota,Corolla,Sedan,Manual,1991,Gas,1300,150000,Silver,Cairo,79000
5568,Geely,Emgrand,Sedan,Manual,2014,Hybrid,1600,200000,Silver,Alexandria,140000
5569,Peugeot,508,Sedan,Automatic,2020,Gas,1600,50000,Silver,Mokattam,900000
5570,Ford,Focus,Sedan,Automatic,2022,Gas,1500,8500,Silver,Giza,685000
5571,Mercedes,C 200,Sedan,Automatic,2019,Gas,1500,85000,Silver,Tagamo3 - New Cairo,1550000
5572,Volkswagen,Jetta,Sedan,Automatic,2009,Gas,1600,300000,Silver,Giza,240000
5573,Chevrolet,Cruze,Sedan,Automatic,2010,Gas,1600,200000,Silver,Cairo,160000
5574,MG,ZS,Sedan,Automatic,2022,Gas,1500,122000,Silver,Shobra,420000
5575,Hyundai,Elantra CN7,Sedan,Automatic,2022,Gas,1600,25000,Silver,Mohandessin,610000
5576,Fiat,Tipo,Sedan,Automatic,2021,Gas,1600,36000,Silver,El Haram,430000
5577,Chery,Arrizo 5,Sedan,Manual,2023,Gas,1500,80,Silver,Cairo,330000
5578,Peugeot,508,Sedan,Automatic,2015,Gas,1600,200000,Silver,Ismailia,400000
5579,Skoda,Fantasia,Sedan,Automatic,2011,Gas,1600,120000,Silver,Cairo,365000
5580,Mercedes,C 300,Sedan,Automatic,2020,Gas,2000,35000,Silver,Heliopolis,2100000
5581,Toyota,Corolla,Sedan,Automatic,2009,Gas,1600,88000,Silver,Mansoura,200000
5582,Chrysler,300,Sedan,Automatic,2007,Gas,3000,180000,Silver,Sheikh Zayed City,590000
5583,Mitsubishi,Lancer Puma,Sedan,Manual,2008,Gas,1600,90000,Silver,Qena,200000
5584,Renault,Logan,Sedan,Automatic,2018,Gas,1600,95000,Silver,Tagamo3 - New Cairo,290000
5585,Lada,Granta,Sedan,Automatic,2020,Gas,1600,150000,Silver,6 October,175000
5586,Mitsubishi,Lancer Puma,Sedan,Manual,2007,Gas,1300,161000,Silver,Cairo,200000
5587,BMW,320,Sedan,Automatic,2015,Gas,2000,125000,Silver,Heliopolis,750000
5588,BMW,518,Sedan,Manual,1993,Gas,2500,200000,Silver,Giza,160000
5589,Daewoo,Lanos,Sedan,Manual,2007,Gas,1500,180000,Silver,Helwan,130000
5590,Hyundai,Verna,Sedan,Automatic,2011,Gas,1600,250000,Silver,Warraq,150000
5591,Renault,Logan,Sedan,Automatic,2018,Gas,1600,110000,Silver,10th of Ramadan,265000
5592,Fiat,Siena,Sedan,Manual,2003,Gas,1600,170000,Silver,6 October,65000
5593,Peugeot,405,Sedan,Manual,1994,Gas,1600,200000,Silver,Alexandria,90000
5594,Opel,Astra,Sedan,Automatic,2021,Gas,1400,28000,Silver,6 October,575000
5596,Mercedes,C 180,Sedan,Automatic,2014,Gas,1600,45000,Silver,El Bagour,1090000
5597,Kia,Grand Cerato,Sedan,Automatic,2022,Gas,1600,17000,Silver,Giza,650000
5598,Peugeot,508,Sedan,Automatic,2012,Gas,1600,149000,Silver,Sheikh Zayed City,330000
5599,Toyota,Corolla,Sedan,Automatic,2022,Gas,1600,6000,Silver,Beheira,700000
5600,Renault,Logan,Sedan,Automatic,2021,Gas,1600,22000,Silver,Giza,310000
5601,BMW,318,Sedan,Automatic,2017,Gas,1500,176600,Silver,Tagamo3 - New Cairo,710000
5602,Mitsubishi,Lancer Puma,Sedan,Automatic,2008,Gas,1600,20000,Silver,Damietta,250000
5603,Opel,Insignia,Sedan,Automatic,2014,Gas,1400,200000,Silver,6 October,350000
5604,MG,6,Sedan,Automatic,2020,Gas,1500,55000,Silver,6 October,450000
5605,Kia,Sephia,Sedan,Manual,1999,Gas,1600,220000,Silver,Cairo,90000
5606,Nissan,Sunny,Sedan,Automatic,2018,Gas,1600,100000,Silver,Heliopolis,315000
5607,Skoda,Octavia A7,Sedan,Automatic,2016,Gas,1600,128000,Silver,Tagamo3 - New Cairo,490000
5608,Renault,Megane,Sedan,Automatic,2021,Gas,1200,30000,Silver,Nasr city,600000
5609,Mercedes,E 300,Sedan,Automatic,2021,Hybrid,2000,16000,Silver,Nasr city,3000000
5610,Daewoo,Lanos,Sedan,Manual,2005,Gas,1600,190000,Silver,Obour City,118000
5611,Citroën,Xsara,Sedan,Manual,2001,Gas,1600,190000,Silver,10th of Ramadan,75000
5612,Peugeot,508,Sedan,Automatic,2019,Gas,1600,200000,Silver,El Haram,700000
5613,Toyota,Corolla,Sedan,Automatic,2012,Gas,1600,296000,Silver,Damanhur,350000
5614,BMW,520,Sedan,Automatic,2014,Gas,2000,180000,Silver,Tagamo3 - New Cairo,900000
5615,Toyota,Corolla,Sedan,Automatic,2015,Gas,1600,270000,Silver,Faiyum,385000
5616,Lada,Granta,Sedan,Manual,2020,Gas,1600,66000,Silver,Ain Shams,190000
5617,Opel,Insignia,Sedan,Automatic,2018,Gas,1500,112000,Silver,Nasr city,750000
5618,Nissan,Sunny,Sedan,Automatic,2021,Gas,1600,45000,Silver,6 October,315000
5619,MG,6,Sedan,Automatic,2021,Gas,1500,62000,Silver,Cairo,600000
5620,Volkswagen,Passat,Sedan,Automatic,2021,Gas,1400,30000,Silver,Heliopolis,960000
5621,MG,ZS,Sedan,Automatic,2020,Gas,1500,42000,Silver,Sheikh Zayed City,495000
5622,Chevrolet,Cruze,Sedan,Automatic,2016,Gas,1600,120000,Silver,Alexandria,325000
5623,Mercedes,C 180,Sedan,Automatic,2022,Gas,1500,6000,Silver,Nasr city,2050000
5624,Mercedes,E 320,Sedan,Automatic,2003,Gas,3200,223000,Silver,Cairo,485000
5625,Toyota,Corolla,Sedan,Automatic,2005,Gas,1300,320000,Silver,Cairo,300000
5626,Mitsubishi,Lancer Puma,Sedan,Automatic,2013,Gas,1600,300000,Silver,Sheikh Zayed City,280000
5627,Nissan,Sunny,Sedan,Automatic,2019,Gas,1500,131000,Silver,Nasr city,300000
5628,Nissan,Sunny,Sedan,Automatic,2014,Gas,1600,270000,Silver,Cairo,188000
5629,MG,5,Sedan,Automatic,2022,Gas,1500,10780,Silver,Alexandria,370000
5630,Mercedes,C 180,Sedan,Automatic,2012,Gas,1800,140000,Silver,Nasr city,560000
5631,Speranza,A620,Sedan,Automatic,2007,Gas,2000,180000,Silver,Giza,125000
5632,MG,ZS,Sedan,Automatic,2021,Gas,1500,108000,Silver,6 October,460000
5633,Nissan,Sunny,Sedan,Automatic,2020,Gas,1500,100000,Silver,Giza,295000
5634,Opel,Astra,Sedan,Automatic,2014,Gas,1600,242000,Silver,Madinaty,355000
5635,BMW,316,Sedan,Manual,2008,Gas,1600,300000,Silver,Zagazig,370000
5636,Brilliance,FSV,Sedan,Automatic,2013,Gas,1500,180000,Silver,Giza,145000
5637,Chery,Envy,Sedan,Manual,2017,Gas,1500,165000,Silver,Warraq,155000
5638,Hyundai,Verna,Sedan,Manual,2011,Gas,1600,147000,Silver,El Minya,157000
5639,Mercedes,C 180,Sedan,Automatic,2018,Gas,1600,35000,Silver,Heliopolis,1350000
5640,Chevrolet,Optra,Sedan,Automatic,2009,Gas,1600,200000,Silver,Banha,205000
5641,Mazda,3,Sedan,Automatic,2010,Gas,1600,200000,Silver,Sharqia,260000
5642,Daewoo,Lanos,Sedan,Manual,2005,Gas,1600,180000,Silver,Tagamo3 - New Cairo,120000
5643,Hyundai,Elantra MD,Sedan,Automatic,2016,Gas,1600,132000,Silver,Faiyum,360000
5644,Opel,Astra,Sedan,Automatic,2020,Gas,1600,110000,Silver,Shobra,450000
5645,Hyundai,Verna,Sedan,Manual,2014,Gas,1600,169000,Silver,Faiyum,180000
5646,Fiat,Regata,Sedan,Manual,1986,Gas,1600,100000,Silver,Sheikh Zayed City,24000
5647,Chevrolet,Aveo,Sedan,Manual,2013,Gas,1500,314000,Silver,Cairo,160000
5648,Skoda,Octavia A4,Sedan,Automatic,2004,Gas,1600,200000,Silver,Alexandria,185000
5649,Mitsubishi,Lancer Puma,Sedan,Automatic,2009,Gas,1600,95000,Silver,Alexandria,430000
5650,Nissan,Sunny,Sedan,Automatic,2017,Gas,1600,170000,Silver,Mansoura,285000
5651,Hyundai,Elantra MD,Sedan,Automatic,2013,Gas,1600,150000,Silver,El Manial,335000
5652,Mercedes,C 180,Sedan,Automatic,2009,Gas,1600,107000,Silver,Cairo,500000
5653,Nissan,Sentra,Sedan,Automatic,2016,Gas,1600,123000,Silver,El Haram,345000
5654,Opel,Astra,Sedan,Automatic,2014,Gas,1600,152000,Silver,Sheikh Zayed City,345000
5655,Mercedes,E 250,Sedan,Automatic,2011,Gas,1800,155000,Silver,Maadi,1050000
5656,Opel,Insignia,Sedan,Automatic,2014,Gas,1600,90000,Silver,Sheikh Zayed City,600000
5657,Nissan,Sunny,Sedan,Manual,2000,Gas,1300,400000,Silver,Al Shorouk,125000
5658,Opel,Astra,Sedan,Automatic,2019,Gas,1400,92000,Silver,Nasr city,430000
5659,Opel,Insignia,Sedan,Automatic,2018,Gas,1600,158000,Silver,Touhk,725000
5660,Kia,Cerato,Sedan,Automatic,2010,Gas,1600,150000,Silver,Banha,355000
5661,Hyundai,Accent RB,Sedan,Automatic,2015,Gas,1600,123000,Silver,Cairo,287000
5662,Daewoo,Nubira 2,Sedan,Manual,1999,Gas,1600,270000,Silver,Shibin el Kom,95000
5663,Nissan,Sunny,Sedan,Automatic,2019,Gas,1500,80000,Silver,Warraq,300000
5664,Opel,Astra,Sedan,Automatic,2001,Gas,1200,354000,Silver,El Marg,150000
5665,Skoda,Octavia A4,Sedan,Automatic,2001,Gas,1600,231000,Silver,Nasr city,183000
5666,MG,5,Sedan,Automatic,2021,Gas,1600,59000,Silver,Alexandria,395000
5667,Hyundai,Verna,Sedan,Manual,2015,Gas,1600,490000,Silver,Ain Shams,140000
5668,Chevrolet,Optra,Sedan,Automatic,2018,Gas,1500,47000,Silver,Kafr el-Sheikh,290000
5669,Hyundai,Accent,Sedan,Manual,2000,Gas,1300,220000,Silver,El Marg,70000
5670,Nissan,Sunny,Sedan,Automatic,2015,Gas,1500,190000,Silver,6 October,215000
5671,Volkswagen,Passat,Sedan,Automatic,1999,Gas,1600,143000,Silver,Alexandria,120000
5672,BMW,316,Sedan,Automatic,2015,Gas,1600,150000,Silver,Heliopolis,660000
5673,Renault,Logan,Sedan,Automatic,2019,Gas,1600,150000,Silver,6 October,270000
5674,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2016,Gas,1600,16000,Silver,Sheikh Zayed City,450000
5675,Chevrolet,Lanos,Sedan,Manual,2010,Natural Gas,1500,330000,Silver,Imbaba,115000
5676,Nissan,Sunny,Sedan,Automatic,2013,Gas,1600,131000,Silver,Cairo,200000
5677,Byd,F3,Sedan,Manual,2018,Gas,1600,20000,Silver,Giza,210000
5678,Toyota,Corolla,Sedan,Automatic,2021,Gas,1600,48000,Silver,Borg el arab,600000
5679,Seat,Ibiza,Sedan,Automatic,2011,Gas,1600,149000,Silver,Obour City,238000
5680,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,1400,73000,Silver,Ismailia,950000
5681,Toyota,Yaris,Sedan,Automatic,2014,Gas,1300,150000,Silver,Nasr city,320000
5682,Skoda,Octavia A8,Sedan,Automatic,2021,Gas,2000,60000,Silver,Obour City,1400000
5683,Seat,Toledo,Sedan,Manual,1996,Gas,1600,160000,Silver,El Manial,75000
5684,BMW,318,Sedan,Automatic,2019,Gas,1500,61000,Silver,Maadi,980000
5685,Hyundai,Accent,Sedan,Manual,2006,Gas,1300,300000,Silver,Tagamo3 - New Cairo,110000
5686,MG,6,Sedan,Automatic,2021,Gas,1500,30000,Silver,Heliopolis,550000
5687,Mercedes,E 200,Sedan,Automatic,2000,Gas,2000,200000,Silver,Heliopolis,355000
5688,BMW,520,Sedan,Automatic,2015,Gas,2000,150000,Silver,Tagamo3 - New Cairo,880000
5689,Skoda,Octavia A7,Sedan,Automatic,2014,Gas,1400,110000,Silver,Shibin el Kom,470000
5690,BMW,320,Sedan,Automatic,2008,Gas,2000,220000,Silver,Heliopolis,390000
5691,Byd,F3,Sedan,Manual,2020,Gas,1500,13500,Silver,Dokki,285000
5692,Kia,Cerato,Sedan,Automatic,2022,Gas,1600,20000,Silver,Ismailia,670000
5693,Skoda,Octavia A7,Sedan,Automatic,2017,Gas,1600,95000,Silver,6 October,570000
5694,MG,5,Sedan,Automatic,2020,Gas,1600,19000,Silver,Tanta,425000
5695,MG,5,Sedan,Automatic,2022,Gas,1500,30,Silver,Tagamo3 - New Cairo,480000
5696,Citroën,C5,Sedan,Automatic,2015,Gas,1600,185000,Silver,Tagamo3 - New Cairo,320000
5697,Chevrolet,Lanos,Sedan,Manual,2012,Gas,1500,170000,Silver,Tagamo3 - New Cairo,140000
5698,Citroën,C5,Sedan,Automatic,2020,Gas,1600,125000,Silver,Sheikh Zayed City,690000
5699,Byd,F3,Sedan,Manual,2020,Gas,1600,25000,Silver,Sheikh Zayed City,220000
5700,Peugeot,405,Sedan,Manual,1994,Gas,1500,201000,Silver,6 October,80000
5701,MG,5,Sedan,Automatic,2022,Gas,1500,30,Silver,Tagamo3 - New Cairo,450000
5702,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2015,Gas,1600,97000,Silver,Beheira,400000
5703,Ford,Focus,Sedan,Automatic,2017,Gas,1000,90000,Silver,Alexandria,350000
5704,Lada,Granta,Sedan,Manual,2016,Gas,1600,175000,Silver,Cairo,200000
5705,Proton,Wira,Sedan,Manual,2004,Gas,1300,335000,Silver,Helwan,77000
5706,Volkswagen,Passat,Sedan,Automatic,2021,Gas,1400,65000,Silver,Heliopolis,1120000
5707,Hyundai,Verna,Sedan,Manual,2013,Natural Gas,1400,250000,Silver,El Haram,130000
5708,Kia,Sephia,Sedan,Manual,2000,Gas,1600,126000,Silver,Cairo,100000
5709,Chevrolet,Lanos,Sedan,Manual,2011,Gas,1500,150000,Silver,Maadi,125000
5710,Volkswagen,Passat,Sedan,Automatic,2021,Gas,1400,11000,Silver,Nasr city,1070000
5711,Citroën,C5,Sedan,Automatic,2021,Gas,1600,130000,Silver,Mokattam,890000
5712,Kia,Cerato,Sedan,Automatic,2017,Gas,1600,165000,Silver,6 October,480000
5713,Mercedes,E 180,Sedan,Automatic,2016,Gas,1600,133000,Silver,Sheikh Zayed City,1400000
5714,BMW,318,Sedan,Automatic,2016,Gas,1500,159000,Silver,Cairo,650000
5715,Nissan,Sunny,Sedan,Automatic,2021,Gas,1600,52000,Silver,Obour City,295000
5716,Ford,Focus,Sedan,Automatic,2013,Gas,1600,89000,Silver,Giza,370000
5717,Hyundai,Verna,Sedan,Automatic,2005,Gas,1600,300000,Silver,Suez,130000
5718,Nissan,Sunny,Sedan,Automatic,2001,Gas,1600,250000,Silver,Obour City,150000
5719,Lada,2107,Sedan,Manual,2007,Gas,1600,114000,Silver,Cairo,49000
5720,Speranza,A11,Sedan,Manual,2006,Gas,1500,145000,Silver,Cairo,70000
5721,Mercedes,CLA 200,Sedan,Automatic,2020,Gas,1300,25000,Silver,Heliopolis,1375000
5722,Daewoo,Nubira 2,Sedan,Manual,1999,Gas,1500,150000,Silver,Dakahlia,115000
5723,Renault,Logan,Sedan,Manual,2014,Gas,1600,170000,Silver,Giza,140000
5724,Hyundai,Elantra MD,Sedan,Automatic,2012,Gas,1600,185000,Silver,Giza,290000
5725,BMW,520,Sedan,Automatic,1998,Gas,2000,270000,Silver,Suez,230000
5726,Mercedes,E 180,Sedan,Automatic,2019,Gas,1600,56000,Silver,Mokattam,1850000
5727,Opel,Vectra,Sedan,Manual,2002,Gas,1600,185000,Silver,El Haram,150000
5728,MG,5,Sedan,Automatic,2021,Gas,1600,17000,Silver,Tagamo3 - New Cairo,480000
5729,Volkswagen,Passat,Sedan,Automatic,2006,Gas,1600,200000,Silver,Cairo,290000
5730,Toyota,Yaris,Sedan,Automatic,2015,Gas,1500,165000,Silver,El Marg,340000
5731,Volvo,S60,Sedan,Automatic,2018,Gas,1600,65000,Silver,Cairo,820000
5732,Chevrolet,Lanos,Sedan,Manual,2010,Gas,1500,350000,Silver,El Haram,80000
5733,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2015,Gas,1600,150000,Silver,Gharbia,335000
5734,Toyota,Corolla,Sedan,Automatic,2022,Gas,1600,45000,Silver,Nasr city,680000
5735,Byd,F3,Sedan,Manual,2018,Gas,1600,100000,Silver,El Haram,205000
5736,Renault,Fluence,Sedan,Automatic,2014,Gas,1600,120000,Silver,6 October,310000
5737,Opel,Astra,Sedan,Automatic,2013,Gas,1600,175000,Silver,Tagamo3 - New Cairo,310000
5738,Chevrolet,Lanos,Sedan,Manual,2013,Gas,1500,107000,Silver,Zagazig,145000
5739,Mazda,3,Sedan,Manual,2009,Gas,1600,150000,Silver,Bilbeis,190000
5740,Hyundai,Verna,Sedan,Manual,2008,Gas,1600,213500,Silver,El Marg,125000
5741,BMW,316,Sedan,Automatic,2010,Gas,1600,200000,Silver,Nasr city,420000
5742,Hyundai,Elantra MD,Sedan,Automatic,2016,Gas,1600,165000,Silver,Tagamo3 - New Cairo,410000
5743,Opel,Astra,Sedan,Automatic,2017,Gas,1600,15600,Silver,Nasr city,380000
5744,Hyundai,XD,Sedan,Automatic,2005,Gas,1590,160000,Silver,Touhk,200000
5745,Speranza,Envy,Sedan,Manual,2014,Gas,1500,168000,Silver,Alexandria,140000
5746,Fiat,Tipo,Sedan,Automatic,2020,Gas,1600,100000,Silver,Shobra,420000
5747,Kia,Cerato,Sedan,Manual,2013,Gas,1600,10000,Silver,Cairo,350000
5748,BMW,316,Sedan,Manual,2008,Gas,1600,250000,Silver,Zagazig,370000
