,Brand,Model,Body,Transmission,Year,Fule,Engine_CC,Kilometers_Driven,Color,City,Price
119,Mitsubishi,Lancer Puma,Sedan,Automatic,2005,Gas,1300,141000,White,Madinaty,235000
120,Opel,Grandland,SUV,Automatic,2019,Gas,1600,90000,White,Mokattam,750000
121,Kia,Carens,MiniVans,Automatic,2012,Gas,1600,210000,Black,Nasr city,430000
122,Toyota,Yaris,Sedan,Automatic,2014,Gas,1300,93000,Dark blue,Dokki,350000
123,Toyota,Corolla,Sedan,Automatic,2019,Gas,1600,115000,White,Beheira,600000
124,Fiat,Regata,Sedan,Manual,1985,Gas,1600,200000,Silver,10th of Ramadan,40000
125,Chevrolet,Aveo,Sedan,Automatic,2020,Gas,1600,150000,Silver,El Haram,250000
126,Mitsubishi,Lancer EX Shark,Sedan,Automatic,2015,Gas,1600,175000,Gray,Faiyum,390000
127,Chery,Arrizo 5,Sedan,Automatic,2020,Gas,1600,40000,Silver,Qena,290000
128,Hyundai,Getz,Hatchback,Automatic,2010,Gas,1600,195000,Silver,Amreya,255000
129,Haval,Jolion,SUV,Automatic,2022,Gas,1500,24800,Cyan,Obour City,800000
130,Nissan,Sunny,Sedan,Automatic,2021,Gas,1600,67000,Black,Heliopolis,410000
131,Mitsubishi,Lancer Crystala,Coupe,Manual,1994,Gas,2000,180000,Silver,6 October,190000
132,Nissan,Sunny,Sedan,Automatic,2016,Gas,1600,96000,Champagne,Tagamo3 - New Cairo,250000
133,Kia,Rio,Sedan,Automatic,2012,Gas,1600,151500,Gray,6 October,275000
134,Mercedes,C 180,Sedan,Automatic,2015,Gas,1600,72000,Light grey,Madinaty,1300000
135,Lada,2107,Sedan,Manual,2007,Gas,1600,100000,Black,Alexandria,90000
136,Brilliance,V6,SUV,Automatic,2019,Gas,1500,70000,White,6 October,550000
137,Chery,Tiggo 7,SUV,Automatic,2022,Gas,1500,9500,Silver,Hurghada,620000
138,Chevrolet,T-Series,Pick up,Manual,2016,Gas,1600,225000,Red,Beheira,340000
139,Seat,Ateca,SUV,Automatic,2021,Gas,1400,30000,Silver,Alexandria,1100000
140,Kia,Grand Cerato,Sedan,Automatic,2021,Gas,1600,56000,Light grey,Cairo,490000
141,Nissan,Sunny,Sedan,Automatic,2015,Gas,1600,230000,Gray,El Haram,270000
142,Fiat,Tipo,Sedan,Manual,2021,Gas,1600,90000,Black,Cairo,360000
143,Kia,Cerato,Sedan,Automatic,2018,Gas,1600,130000,Light grey,Cairo,530000
144,Hyundai,Tucson,SUV,Automatic,2019,Gas,1600,42000,Blue,Hurghada,1000000
145,Toyota,Corolla,Sedan,Automatic,2008,Gas,1600,206000,Silver,Heliopolis,300000
146,Dodge,Dart,Hatchback,Automatic,2013,Gas,1600,130000,Yellow,Nasr city,360000
147,Ford,Escort,Hatchback,Manual,1998,Gas,1300,85000,Dark green,Banha,55000
